"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"144",144,-0.5,-0.25,0.75,1.5,-0.000839900000000005,0.0139739000000001,3.81999999999882e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"145",145,-0.5,0.25,-0.75,-1.5,-0.000320199999999993,-0.0271836,8.89000000000584e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"146",146,-0.5,0.25,-0.75,-1,-0.000650299999999993,-0.0241418000000001,5.13999999999237e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"147",147,-0.5,0.25,-0.75,1,-0.000832499999999903,0.00699050000000001,0.000117000000000034,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"148",148,-0.5,0.25,-0.75,1.5,-0.000786800000000087,0.0110584000000001,0.000168100000000004,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"149",149,-0.5,0.25,-0.2,-1.5,-0.000380999999999965,-0.0271847000000001,6.22999999999596e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"150",150,-0.5,0.25,-0.2,-1,-0.000656300000000054,-0.0241426,3.29999999999497e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"151",151,-0.5,0.25,-0.2,1,-0.000885799999999937,0.00699080000000007,9.04999999999934e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"152",152,-0.5,0.25,-0.2,1.5,-0.000803300000000173,0.0108851,-3.41999999999842e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"153",153,-0.5,0.25,0.2,-1.5,-0.000176499999999913,-0.0271703000000001,0.000124499999999972,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"154",154,-0.5,0.25,0.2,-1,-0.000536600000000109,-0.0241509,8.4799999999996e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"155",155,-0.5,0.25,0.2,1,-0.000837700000000052,0.00702479999999994,9.759999999992e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"156",156,-0.5,0.25,0.2,1.5,-0.000926899999999953,0.0112306,0.000149599999999972,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"157",157,-0.5,0.25,0.75,-1.5,-0.000237299999999885,-0.0271714000000001,9.78999999999841e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"158",158,-0.5,0.25,0.75,-1,-0.00054260000000006,-0.0241517,6.6400000000022e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"159",159,-0.5,0.25,0.75,1,-0.000765800000000039,0.00684919999999989,-2.19000000000191e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"160",160,-0.5,0.25,0.75,1.5,-0.000830000000000108,0.0110393,-0.000128199999999912,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"161",161,-0.5,0.5,-0.75,-1.5,-0.000338700000000025,-0.0176305000000001,-4.12000000000745e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"162",162,-0.5,0.5,-0.75,-1,-0.000643199999999844,-0.0181523,6.0799999999972e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"163",163,-0.5,0.5,-0.75,1,-0.000874299999999884,0.0055423,0.000101499999999977,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"164",164,-0.5,0.5,-0.75,1.5,-0.000925599999999971,0.00948890000000002,-2.24999999999254e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
