"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"127",-1.5,1,0.2,-1.5,0.5,0.0483169999999999,0.0850716,-0.000324300000000055,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"128",-1.5,1,0.2,-1,0.5,0.0984998999999999,0.242127,-0.000187599999999954,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"129",-1.5,1,0.2,-0.5,0.5,0.1321002,0.3468872,-0.000451399999999991,2,4,1,3,3,2,1,4,2,3,1,4,2,4,1,3
"130",-1.5,1,0.2,0,0.5,0.1510574,0.4035544,-0.000400900000000037,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"131",-1.5,1,0.2,0.5,0.5,0.1588622,0.4348875,3.10000000003363e-06,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"132",-1.5,1,0.2,1,0.5,0.1603564,0.4470176,-0.000188900000000047,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"133",-1.5,1,0.2,1.5,0.5,0.1577093,0.4467199,-3.8399999999883e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"134",-1.5,1,0.75,-1.5,0.5,0.0486220000000001,0.0849145000000001,-0.000159599999999926,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"135",-1.5,1,0.75,-1,0.5,0.0983589,0.2420158,-0.000209899999999985,3,2,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"136",-1.5,1,0.75,-0.5,0.5,0.132025,0.3473121,0.000135099999999944,2,3,1,4,3,2,1,4,2,3,1,4,2,4,1,3
"137",-1.5,1,0.75,0,0.5,0.1506397,0.4038118,-0.000153999999999987,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"138",-1.5,1,0.75,0.5,0.5,0.1589718,0.434921,-7.23999999999725e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"139",-1.5,1,0.75,1,0.5,0.1605095,0.4472623,-2.38999999999656e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"140",-1.5,1,0.75,1.5,0.5,0.1573542,0.446389,-0.00029609999999991,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"141",-1.5,1,-0.75,-1.5,1,0.0495023,0.0727325999999999,1.99999999994649e-06,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"142",-1.5,1,-0.75,-1,1,0.1104858,0.2339016,-0.000261299999999909,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"143",-1.5,1,-0.75,-0.5,1,0.1532786,0.3528982,1.90000000001023e-05,2,4,1,3,3,2,1,4,3,2,1,4,2,3,1,4
"144",-1.5,1,-0.75,0,1,0.1764713,0.423448,-0.000231299999999934,3,4,1,2,4,2,1,3,2,3,1,4,3,4,1,2
"145",-1.5,1,-0.75,0.5,1,0.1842684,0.4626189,1.41999999999642e-05,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"146",-1.5,1,-0.75,1,1,0.1845224,0.4764495,3.86999999999471e-05,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
