"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"302",1.5,1,0.75,-1,-0.00295139999999994,0.0152751999999999,4.97999999999887e-05,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"303",1.5,1,0.75,1,-0.0358635,-0.00892340000000003,0.000201200000000012,1,3,4,2,1,3,4,2,2,3,4,1,1,3,4,2
"304",1.5,1,0.75,1.5,-0.0402781,-0.018916,-0.000218399999999952,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"305",1.5,1.5,-0.75,-1.5,-0.0113759999999999,0.0713873,-0.000215700000000041,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"306",1.5,1.5,-0.75,-1,-0.0271650999999999,0.0511277999999999,7.25999999999782e-05,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"307",1.5,1.5,-0.75,1,-0.0907575999999999,-0.0390758,4.42000000000498e-05,1,4,3,2,1,3,4,2,2,3,4,1,1,4,2,3
"308",1.5,1.5,-0.75,1.5,-0.0996907,-0.0593724,7.23000000000251e-05,1,4,3,2,1,3,4,2,2,3,4,1,1,4,3,2
"309",1.5,1.5,-0.2,-1.5,-0.0111144000000001,0.0713409999999999,-6.26000000000237e-05,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"310",1.5,1.5,-0.2,-1,-0.0271830000000001,0.0509826,-0.000250199999999978,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"311",1.5,1.5,-0.2,1,-0.0906347999999999,-0.0393254999999999,-4.11999999999635e-05,1,4,2,3,1,3,4,2,2,3,4,1,1,4,2,3
"312",1.5,1.5,-0.2,1.5,-0.0993423,-0.0594823999999999,0.000103300000000028,1,4,3,2,1,3,4,2,2,3,4,1,1,4,3,2
"313",1.5,1.5,0.2,-1.5,-0.0112366,0.0712267,7.29000000000424e-05,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"314",1.5,1.5,0.2,-1,-0.026802,0.0511223,0.000310200000000038,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"315",1.5,1.5,0.2,1,-0.0906807000000001,-0.0390736999999999,-7.89999999999402e-05,1,4,2,3,1,3,4,2,2,3,4,1,1,4,2,3
"316",1.5,1.5,0.2,1.5,-0.0995778,-0.0596203000000001,-0.000333499999999987,1,4,3,2,1,3,4,2,2,3,4,1,1,4,3,2
"317",1.5,1.5,0.75,-1.5,-0.0113186,0.071388,0.000183000000000044,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"318",1.5,1.5,0.75,-1,-0.026945,0.0509132000000001,-7.48999999998778e-05,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"319",1.5,1.5,0.75,1,-0.0908105999999999,-0.0390347,-0.000174099999999955,1,4,3,2,1,3,4,2,2,3,4,1,1,4,2,3
"320",1.5,1.5,0.75,1.5,-0.099395,-0.0594594000000001,-0.000106300000000004,1,4,3,2,1,3,4,2,2,3,4,1,1,4,3,2
