"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...191",0.5,-1,0.75,1,4.42476254695358,0.268408947477503,0.243294642539526,-0.0203571882377429,4.42476254695358,0.312540564816611,0.110503010113745,-0.0203571882377429,0.0886600150866728,4.2482255279229,0.312540564816611,0.110503010113745,0.0667972895145352,0.177531130886659,4.425047136245,0.136358902499719,0.375576171188521,-0.0199858536899904,-0.000887407510380633
"Ys0...192",0.5,-1,0.75,1.5,4.4311559902342,0.266776512470513,0.256101853597713,-0.00397635930722195,4.4311559902342,0.312704299507558,0.115664677524718,-0.00397635930722195,0.0945093890359505,4.247467178798,0.312704299507558,0.115664677524718,0.0486414973934375,0.225125979908347,4.43133458940677,0.129437275875573,0.393556840158765,-0.00361294981333105,-0.000657758632575778
"Ys0...193",0.5,0,-0.75,-1.5,4.18832646500267,0.750069915886689,0.0603234000000001,0.46541175,4.18832646500267,0.750069915886689,0.0603233999999997,0.46541175,4.44089209850063e-16,4.11277479419619,0.750069915886689,0.0603233999999997,0.46541175,0.0749746652861192,4.18771865485165,0.750377158632695,0.0601294500000003,0.46512795,0.000778317405014217
"Ys0...194",0.5,0,-0.75,-1,4.3053224270014,0.750069915886689,0.0986984999999998,0.41811015,4.3053224270014,0.75006991588669,0.0986984999999998,0.41811015,-4.44089209850063e-16,4.18969237820477,0.75006991588669,0.0986984999999998,0.41811015,0.114738943276276,4.30473791969718,0.750377158632695,0.0988028999999999,0.4178427,0.000440314558215693
"Ys0...195",0.5,0,-0.75,1,4.42574153922141,0.750069915886689,0.16584075,0.1006986,4.42574153922141,0.750069915886689,0.16584075,0.1006986,4.44089209850063e-16,4.24909810715236,0.750069915886689,0.16584075,0.1006986,0.176038076548699,4.425047136245,0.750377158632695,0.1657515,0.1006554,0.000519610230407697
"Ys0...196",0.5,0,-0.75,1.5,4.43207288839463,0.75006991588669,0.1733607,0.0733600499999998,4.43207288839463,0.75006991588669,0.1733607,0.0733600499999998,0,4.24831694271841,0.75006991588669,0.1733607,0.0733600500000002,0.183083990155863,4.43133458940677,0.750377158632695,0.1732599,0.0736875000000001,0.000204406241856692
"Ys0...197",0.5,0,-0.2,-1.5,4.18854414407635,0.750057895854547,0.0602839499999996,0.46550145,4.18854414407635,0.750057895854547,0.0602839499999996,0.46550145,0,4.11314532277593,0.750057895854547,0.0602839499999996,0.46550145,0.0745131259448262,4.18771865485165,0.750377158632695,0.0601294500000003,0.46512795,0.00103422644655016
"Ys0...198",0.5,0,-0.2,-1,4.30575653930312,0.750057895854547,0.0987364499999996,0.41811195,4.30575653930312,0.750057895854546,0.0987364500000001,0.41811195,4.44089209850063e-16,4.19002986228162,0.750057895854546,0.0987364500000001,0.41811195,0.114613581665907,4.30473791969718,0.750377158632695,0.0988028999999999,0.4178427,0.000902156827788936
"Ys0...199",0.5,0,-0.2,1,4.42606490679914,0.750057895854546,0.1657311,0.1006512,4.42606490679914,0.750057895854547,0.1657311,0.1006512,-8.88178419700125e-16,4.24944124158369,0.750057895854547,0.1657311,0.1006512,0.175699719859857,4.425047136245,0.750377158632695,0.1657515,0.1006554,0.000673907775991189
"Ys0...200",0.5,0,-0.2,1.5,4.43240909595958,0.750057895854547,0.1732377,0.0735570000000001,4.43240909595958,0.750057895854546,0.1732377,0.0735570000000001,8.88178419700125e-16,4.2486551280843,0.750057895854546,0.1732377,0.0735570000000001,0.182783972519682,4.43133458940677,0.750377158632695,0.1732599,0.0736875000000001,0.000602543774658404
"Ys0...201",0.5,0,0.2,-1.5,4.18708463500737,0.74874630171397,0.0602446500000005,0.4654158,4.18708463500737,0.748746301713971,0.06024465,0.4654158,-4.44089209850063e-16,4.11150884443671,0.748746301713971,0.06024465,0.4654158,0.0746573993605186,4.18771865485165,0.750377158632695,0.0601294500000003,0.46512795,-0.00186182676300595
"Ys0...202",0.5,0,0.2,-1,4.30411811600942,0.748746301713971,0.0988560000000001,0.4178073,4.30411811600942,0.74874630171397,0.0988560000000001,0.4178073,4.44089209850063e-16,4.18841887852351,0.74874630171397,0.0988560000000001,0.4178073,0.114531096275778,4.30473791969718,0.750377158632695,0.0988028999999999,0.4178427,-0.00223296060648259
"Ys0...203",0.5,0,0.2,1,4.42435604379861,0.748746301713971,0.1657032,0.1004982,4.42435604379861,0.748746301713971,0.1657032,0.1004982,-4.44089209850063e-16,4.24788032440543,0.748746301713971,0.1657032,0.1004982,0.175395178183042,4.425047136245,0.750377158632695,0.1657515,0.1006554,-0.00252744936511418
"Ys0...204",0.5,0,0.2,1.5,4.4307110109391,0.748746301713971,0.1733346,0.0734672999999999,4.4307110109391,0.748746301713971,0.1733346,0.0734672999999999,0,4.24713502417162,0.748746301713971,0.1733346,0.0734672999999999,0.182489595557343,4.43133458940677,0.750377158632695,0.1732599,0.0736875000000001,-0.00239993538639283
