"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"140",140,-0.5,-0.25,0.2,1.5,0.0108580000000001,0.0300999,2.2999999998996e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"141",141,-0.5,-0.25,0.75,-1.5,-0.0058184,-0.1651219,4.13999999999692e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"142",142,-0.5,-0.25,0.75,-1,-0.00740700000000005,-0.1444203,0.000584600000000046,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"143",143,-0.5,-0.25,0.75,1,0.00806650000000009,0.0162804,-0.000328200000000112,4,2,1,3,4,2,1,3,4,2,1,3,4,1,2,3
"144",144,-0.5,-0.25,0.75,1.5,0.0107731000000001,0.0297076999999999,-4.39000000000966e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,1,2,3
"145",145,-0.5,0.25,-0.75,-1.5,-0.00060300000000002,-0.0887769,-2.44999999999829e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"146",146,-0.5,0.25,-0.75,-1,0.00180139999999995,-0.0894712,-1.62000000000218e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"147",147,-0.5,0.25,-0.75,1,0.0168801000000001,0.0392453,0.000187500000000118,4,1,2,3,4,2,1,3,4,2,1,3,4,2,1,3
"148",148,-0.5,0.25,-0.75,1.5,0.018204,0.0476156,1.90999999999386e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,2,1,3
"149",149,-0.5,0.25,-0.2,-1.5,-0.000762299999999994,-0.0887098000000001,0.000423099999999899,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"150",150,-0.5,0.25,-0.2,-1,0.00207370000000007,-0.0895653000000001,7.57000000000119e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"151",151,-0.5,0.25,-0.2,1,0.0169939,0.0392158999999999,-5.7000000001084e-06,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"152",152,-0.5,0.25,-0.2,1.5,0.0181578999999999,0.0475845,0.000159399999999921,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"153",153,-0.5,0.25,0.2,-1.5,-0.000611299999999981,-0.0889830000000001,0.00015799999999988,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"154",154,-0.5,0.25,0.2,-1,0.00173609999999991,-0.0893642,0.00020219999999993,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"155",155,-0.5,0.25,0.2,1,0.0167774000000002,0.0390617000000001,-0.00018269999999998,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"156",156,-0.5,0.25,0.2,1.5,0.0174384999999999,0.0472395999999999,-0.000221699999999991,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"157",157,-0.5,0.25,0.75,-1.5,-0.000904500000000086,-0.0890688000000001,6.25000000000764e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"158",158,-0.5,0.25,0.75,-1,0.00195240000000008,-0.0896153,6.18000000000007e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"159",159,-0.5,0.25,0.75,1,0.0167381000000001,0.0395176,0.000317200000000128,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"160",160,-0.5,0.25,0.75,1.5,0.0177967,0.0474668,-7.95000000000101e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"161",161,-0.5,0.5,-0.75,-1.5,0.00345559999999989,-0.0555517000000001,-1.0400000000077e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"162",162,-0.5,0.5,-0.75,-1,0.00853530000000002,-0.0508495,0.000403900000000013,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"163",163,-0.5,0.5,-0.75,1,0.0249143000000001,0.0656212,0.00019199999999997,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"164",164,-0.5,0.5,-0.75,1.5,0.0249772,0.0721101,0.000187599999999954,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"165",165,-0.5,0.5,-0.2,-1.5,0.00308080000000011,-0.0553254999999999,0.000312500000000049,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"166",166,-0.5,0.5,-0.2,-1,0.00854779999999999,-0.0508970000000001,0.000438500000000008,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
