"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"133",133,-0.5,-0.25,-0.2,-1.5,-0.0031409,-0.0664252000000001,8.89999999986735e-06,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"134",134,-0.5,-0.25,-0.2,-1,-0.00678990000000013,-0.0666377,-0.000126000000000071,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"135",135,-0.5,-0.25,-0.2,1,-0.0134787,-0.0394769,-7.39999999999075e-06,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"136",136,-0.5,-0.25,-0.2,1.5,-0.0139182999999999,-0.0344964999999999,-7.29999999999897e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"137",137,-0.5,-0.25,0.2,-1.5,-0.00317279999999998,-0.0663723000000001,5.05999999999007e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"138",138,-0.5,-0.25,0.2,-1,-0.00664930000000008,-0.0666593999999999,-7.48000000000415e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"139",139,-0.5,-0.25,0.2,1,-0.0133450000000001,-0.0396230999999999,-9.28999999998403e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"140",140,-0.5,-0.25,0.2,1.5,-0.0137532,-0.034571,-0.000152099999999988,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"141",141,-0.5,-0.25,0.75,-1.5,-0.00314670000000006,-0.0663687000000001,-2.12000000000545e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"142",142,-0.5,-0.25,0.75,-1,-0.00651420000000003,-0.0666045000000001,-8.68000000000535e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"143",143,-0.5,-0.25,0.75,1,-0.0132416000000001,-0.0396491999999999,-0.000172299999999903,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"144",144,-0.5,-0.25,0.75,1.5,-0.0136428999999999,-0.0346194000000001,-0.000222500000000014,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"145",145,-0.5,0.25,-0.75,-1.5,-0.000616100000000008,-0.0598102,-0.000184199999999968,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"146",146,-0.5,0.25,-0.75,-1,-0.00194109999999992,-0.0579055000000001,-0.00026830000000011,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"147",147,-0.5,0.25,-0.75,1,-0.00559529999999986,-0.0356331,-0.000196300000000038,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"148",148,-0.5,0.25,-0.75,1.5,-0.00593399999999988,-0.0321467000000001,-0.000261400000000078,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"149",149,-0.5,0.25,-0.2,-1.5,-0.000520199999999971,-0.059744,-4.9599999999983e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"150",150,-0.5,0.25,-0.2,-1,-0.00182889999999991,-0.0578630000000001,-0.000207600000000085,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"151",151,-0.5,0.25,-0.2,1,-0.0054417000000001,-0.0354786,-3.22999999999851e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"152",152,-0.5,0.25,-0.2,1.5,-0.00583759999999989,-0.0319916,-0.000100700000000065,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"153",153,-0.5,0.25,0.2,-1.5,-0.000486200000000103,-0.0597122,-1.32999999999939e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"154",154,-0.5,0.25,0.2,-1,-0.00169629999999998,-0.0578729,-0.000141000000000058,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"155",155,-0.5,0.25,0.2,1,-0.00533080000000008,-0.0355559,-0.000139499999999959,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"156",156,-0.5,0.25,0.2,1.5,-0.00570959999999998,-0.0320149,-0.000192700000000046,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"157",157,-0.5,0.25,0.75,-1.5,-0.000516699999999926,-0.0596216000000002,1.44999999999174e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
