"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"135",-1.5,1,0.75,-1,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"136",-1.5,1,0.75,-0.5,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"137",-1.5,1,0.75,0,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"138",-1.5,1,0.75,0.5,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"139",-1.5,1,0.75,1,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"140",-1.5,1,0.75,1.5,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"141",-1.5,1,-0.75,-1.5,1,0.000608900000000134,0.00934069999999998,-2.59999999996374e-06,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"142",-1.5,1,-0.75,-1,1,0.00102820000000003,0.00162100000000009,-0.000152299999999883,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"143",-1.5,1,-0.75,-0.5,1,0.00129279999999998,-0.00305369999999994,5.32000000000865e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"144",-1.5,1,-0.75,0,1,0.00134809999999985,-0.00430020000000009,-2.15000000000076e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"145",-1.5,1,-0.75,0.5,1,0.00175259999999988,-0.00272150000000004,-0.000119900000000173,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"146",-1.5,1,-0.75,1,1,0.00130290000000011,0.000497199999999975,0.000165700000000046,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"147",-1.5,1,-0.75,1.5,1,0.00172969999999995,0.00323989999999985,8.31000000000026e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"148",-1.5,1,-0.2,-1.5,1,0.000649400000000022,0.00930560000000002,-4.99999999958867e-07,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"149",-1.5,1,-0.2,-1,1,0.00102550000000012,0.00161549999999999,-0.000145199999999956,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"150",-1.5,1,-0.2,-0.5,1,0.0012953,-0.0029131,0.000171200000000038,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"151",-1.5,1,-0.2,0,1,0.00148609999999993,-0.00412789999999996,2.57999999999647e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"152",-1.5,1,-0.2,0.5,1,0.00178909999999999,-0.00257269999999998,-9.97000000000359e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"153",-1.5,1,-0.2,1,1,0.00143159999999998,0.000381499999999924,8.6399999999931e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"154",-1.5,1,-0.2,1.5,1,0.00173980000000007,0.00309239999999988,3.60999999999834e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"155",-1.5,1,0.2,-1.5,1,0.000588700000000109,0.00933539999999999,-8.000000000008e-06,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"156",-1.5,1,0.2,-1,1,0.000961199999999995,0.00163450000000009,-0.000156099999999881,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"157",-1.5,1,0.2,-0.5,1,0.00149470000000007,-0.0033259000000001,-0.000125200000000159,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"158",-1.5,1,0.2,0,1,0.00145129999999993,-0.00409080000000006,6.60999999998468e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"159",-1.5,1,0.2,0.5,1,0.00177039999999984,-0.0025577,5.95999999999375e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"160",-1.5,1,0.2,1,1,0.00163249999999993,0.000508500000000023,5.9999999999949e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"161",-1.5,1,0.2,1.5,1,0.0017465000000001,0.00302690000000005,-0.000147999999999926,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"162",-1.5,1,0.75,-1.5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"163",-1.5,1,0.75,-1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"164",-1.5,1,0.75,-0.5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"165",-1.5,1,0.75,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"166",-1.5,1,0.75,0.5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"167",-1.5,1,0.75,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"168",-1.5,1,0.75,1.5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
