"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...46",-1.5,0,0.75,-1,0.046278,-0.2320624,-0.150066,0.0441576,0.046278,-0.263657,-0.1595368,0.0441576,0.0410654,0.0426628999999999,-0.263657,-0.1595368,0.1594389,-0.0704575999999999,0.0464355000000001,-0.2638346,-0.1183563,0.0444034,-0.00034080000000003
"Ys0...47",-1.5,0,0.75,1,0.0633872,-0.1308904,-0.3727667,-0.0140733,0.0633872,-0.158384,-0.4283089,-0.0140733,0.0830358,0.0128039,-0.158384,-0.4283089,-0.0118727,0.1311896,0.0634142,-0.1227622,-0.3807717,-0.0142127,-1.07999999999775e-05
"Ys0...48",-1.5,0,0.75,1.5,0.0616581,-0.1137999,-0.4006512,-0.0109552000000001,0.0616581,-0.1367253,-0.4585625,-0.0109552000000001,0.0808367000000001,0.010974,-0.1367253,-0.4585625,-0.0177818,0.1378228,0.0616723,-0.1005405,-0.4136118,-0.0112035,-6.46999999999176e-05
"Ys0...49",-1.5,1,-0.75,-1.5,0.0543062,-0.2660414,-0.0680874,0.2846142,0.0543062,-0.3040079,-0.0734485,0.2846142,0.0433276,0.0783463,-0.3040079,-0.0734485,0.2563363,0.047667,0.0540670000000001,-0.2651544,-0.0687719,0.2846658,-1.49000000000399e-05
"Ys0...50",-1.5,1,-0.75,-1,0.102331,-0.1188012,-0.1922334,0.1946854,0.102331,-0.2377106,-0.1780491,0.1946854,0.1047251,0.02989,-0.2377106,-0.1780491,0.1777737,0.1941175,0.1026014,-0.1346884,-0.1764402,0.1948121,-0.000303100000000001
"Ys0...51",-1.5,1,-0.75,1,0.1530497,0.2693405,-0.5194363,0.00743470000000002,0.1530497,-0.0132294,-0.4388383,0.00743470000000002,0.2019719,-0.0969658,-0.0132294,-0.4388383,-0.0186303,0.4783207,0.1528833,0.2219528,-0.4718876,0.00734579999999996,9.42999999999916e-05
"Ys0...52",-1.5,1,-0.75,1.5,0.1495226,0.2972698,-0.5461378,0.00187280000000001,0.1495226,0.0138826,-0.4610561,0.00187280000000001,0.1983055,-0.1105101,0.0138826,-0.4610561,-0.0191122,0.4794166,0.1492122,0.2502726,-0.4985895,0.00153590000000003,9.61999999999907e-05
"Ys0...53",-1.5,1,-0.2,-1.5,0.0539293,-0.2646579,-0.0689690999999999,0.2844819,0.0539293,-0.303921,-0.0737348,0.2844819,0.0440288000000001,0.0784837,-0.303921,-0.0737348,0.2564408,0.0474536999999999,0.05437,-0.2651073,-0.0688894000000001,0.2844854,-7.44999999999774e-05
"Ys0...54",-1.5,1,-0.2,-1,0.1028588,-0.1296222,-0.1814702,0.194631,0.1028588,-0.2379068,-0.1780889,0.194631,0.1049033,0.02956,-0.2379068,-0.1780889,0.1783702,0.1945422,0.1028697,-0.134868,-0.17637,0.1948953,-0.000129599999999952
"Ys0...55",-1.5,1,-0.2,1,0.1527747,0.2338868,-0.4838505,0.00740419999999997,0.1527747,-0.0132347,-0.4386884,0.00740419999999997,0.2019594,-0.097095,-0.0132347,-0.4386884,-0.0186050999999999,0.4780638,0.1527132,0.2218838,-0.471669,0.00726149999999992,2.57000000000174e-05
