"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"77",77,-1.5,0.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"78",78,-1.5,0.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"79",79,-1.5,0.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"80",80,-1.5,0.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"81",81,-1.5,1.25,-0.75,-1.5,0.000206200000000156,-0.00800800000000002,2.79999999996949e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"82",82,-1.5,1.25,-0.75,-1,0.000475699999999968,-0.00616349999999999,1.29000000000934e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"83",83,-1.5,1.25,-0.75,1,0.000817599999999974,0.00241500000000006,5.02000000001113e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"84",84,-1.5,1.25,-0.75,1.5,0.000857000000000108,0.0037005,3.96999999999759e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"85",85,-1.5,1.25,-0.2,-1.5,0.000240000000000018,-0.00806429999999991,-1.84999999999214e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"86",86,-1.5,1.25,-0.2,-1,0.000467499999999954,-0.00621860000000007,-8.49999999996687e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"87",87,-1.5,1.25,-0.2,1,0.00084519999999999,0.00236780000000003,2.87000000001036e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"88",88,-1.5,1.25,-0.2,1.5,0.000874500000000111,0.00365480000000007,1.9199999999997e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"89",89,-1.5,1.25,0.2,-1.5,0.000259700000000085,-0.00802819999999993,1.64000000000275e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"90",90,-1.5,1.25,0.2,-1,0.00048400000000004,-0.00618269999999999,2.8800000000051e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"91",91,-1.5,1.25,0.2,1,0.000867500000000021,0.00240759999999995,6.30000000000353e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"92",92,-1.5,1.25,0.2,1.5,0.000903300000000162,0.00369520000000012,5.37000000000454e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"93",93,-1.5,1.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"94",94,-1.5,1.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"95",95,-1.5,1.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"96",96,-1.5,1.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"97",97,-0.5,-1.25,-0.75,-1.5,-0.000179299999999993,-0.0107957,-2.20000000006326e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"98",98,-0.5,-1.25,-0.75,-1,-0.000283899999999893,-0.0082044,8.69999999997262e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
