"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...189",0.5,-1,0.75,-1.5,0.0334232,0.00283689999999992,0.00491830000000004,0.0606196999999999,0.0334232,0.00419449999999999,0.00206550000000005,0.0606196999999999,0.00149519999999992,-0.00135760000000007,0.0308769000000001,0.00419449999999999,0.00206550000000005,0.1385739,-0.0739354000000002,-0.00135760000000007,0.0335464000000001,-0.00302800000000003,0.0106518999999999,0.0606642000000001,-3.64000000001585e-05,0.00586489999999995
"Ys0...190",0.5,-1,0.75,-1,0.0302848999999999,0.000578599999999985,0.00777450000000002,0.0535421,0.0302848999999999,0.00262299999999993,0.00353899999999996,0.0535421,0.00219110000000011,-0.00204439999999995,0.0251589,0.00262299999999993,0.00353899999999996,0.1095808,-0.0487512,-0.00204439999999995,0.0303947,-0.00848349999999998,0.0167159,0.0535901999999999,-3.71999999999595e-05,0.00906209999999996
"Ys0...191",0.5,-1,0.75,1,0.0214721,-0.00107439999999992,0.0107744999999999,0.0361126000000001,0.0214721,0.00149739999999998,0.00558029999999998,0.0361126000000001,0.00262240000000002,-0.0025717999999999,0.0145033999999999,0.00149739999999998,0.00558029999999998,0.0306399000000001,0.0150778,-0.0025717999999999,0.0215034,-0.0123728999999999,0.0220210999999999,0.0362019,-6.86999999999216e-05,0.0112985
"Ys0...192",0.5,-1,0.75,1.5,0.0202591,-0.000991799999999987,0.0108751,0.0336914,0.0202591,0.00157799999999997,0.00572870000000003,0.0336914,0.00257660000000004,-0.00256979999999996,0.0134569,0.00157799999999997,0.00572870000000003,0.0233726,0.0197201000000001,-0.00256979999999996,0.0202836,-0.0121635999999999,0.0219874999999999,0.0337467,-2.03999999999205e-05,0.0111718
"Ys0...193",0.5,0,-0.75,-1.5,NA,NA,NA,0.1739539,NA,NA,NA,0.1739539,NA,NA,NA,NA,NA,0.2129786,NA,NA,0.0240449,-0.000468800000000047,0.00951600000000008,0.1739725,NA,NA
"Ys0...194",0.5,0,-0.75,-1,NA,NA,NA,0.1213158,NA,NA,NA,0.1213158,NA,NA,NA,NA,NA,0.1555799,NA,NA,0.0205135,-0.0054362,0.0152434,0.1213286,NA,NA
"Ys0...195",0.5,0,-0.75,1,NA,NA,NA,0.0334561999999999,NA,NA,NA,0.0334561999999999,NA,NA,NA,NA,NA,0.0332096000000001,NA,NA,0.0161849000000001,-0.0110161,0.0214226,0.0337889,NA,NA
"Ys0...196",0.5,0,-0.75,1.5,NA,NA,NA,0.0292351,NA,NA,NA,0.0292351,NA,NA,NA,NA,NA,0.0245908,NA,NA,0.015968,-0.0111173999999999,0.0216493,0.0292843,NA,NA
"Ys0...197",0.5,0,-0.2,-1.5,0.0240421,-0.00165550000000003,0.0106357,0.1740821,0.0240421,0.00515930000000009,0.00260689999999997,0.1740821,0.00121399999999994,-0.00681480000000012,0.0233344999999999,0.00515930000000009,0.00260689999999997,0.212904,-0.0368325,-0.00681480000000012,0.0241567,-0.000581200000000059,0.00945090000000004,0.1740105,6.74999999999981e-05,-0.00107429999999997
"Ys0...198",0.5,0,-0.2,-1,0.0204999,-0.00740189999999996,0.017189,0.1213436,0.0204999,0.00369819999999998,0.00421800000000006,0.1213436,0.00187090000000001,-0.0111000999999999,0.016975,0.00369819999999998,0.00421800000000006,0.1555874,-0.0287888999999999,-0.0111000999999999,0.0206313,-0.00555079999999997,0.0152334,0.1213786,-6.18999999999481e-05,-0.00185109999999999
