"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...102",-0.5,-1,-0.2,-1,-3.2460701,-0.21799475,0.12981875,0.0850579499999999,-0.0263239,0.0160022,-0.00243470000000023
"Ys1...103",-0.5,-1,-0.2,1,-3.3472425,-0.1125609,0.15383325,0.07887515,-0.0440309999999999,0.0271423,-0.00378480000000003
"Ys1...104",-0.5,-1,-0.2,1.5,-3.3542319,-0.0950494499999999,0.15548845,0.0784340500000003,-0.0452688000000001,0.0278885999999998,-0.00389699999999982
"Ys1...105",-0.5,-1,0.2,-1.5,-3.1831052,-0.23205455,0.10619085,0.0887060499999999,-0.00686790000000004,0.00912559999999996,-0.00149130000000008
"Ys1...106",-0.5,-1,0.2,-1,-3.2464496,-0.21799475,0.11508415,0.0848647499999999,-0.0119045499999997,0.01589595,-0.00241890000000033
"Ys1...107",-0.5,-1,0.2,1,-3.3477696,-0.1125609,0.12930635,0.0786934499999998,-0.0198562500000001,0.0269267499999999,-0.00382990000000039
"Ys1...108",-0.5,-1,0.2,1.5,-3.3548356,-0.0950494499999999,0.13029975,0.07825295,-0.0204514000000002,0.0276274999999999,-0.00396790000000014
"Ys1...109",-0.5,-1,0.75,-1.5,-3.1826989,-0.23205455,0.0948793500000003,0.0889364499999998,0.00473879999999971,0.0091931999999999,-0.00148850000000023
"Ys1...110",-0.5,-1,0.75,-1,-3.2460451,-0.21799475,0.09532045,0.0850567499999997,0.00815390000000038,0.0159422999999999,-0.00247530000000085
"Ys1...111",-0.5,-1,0.75,1,-3.3472159,-0.1125609,0.0960230500000003,0.0788690499999998,0.0137590999999997,0.0270326000000001,-0.00388050000000018
"Ys1...112",-0.5,-1,0.75,1.5,-3.3542627,-0.0950494499999999,0.0960727499999998,0.0784500500000003,0.0141124499999998,0.02775785,-0.00397729999999941
"Ys1...113",-0.5,0,-0.75,-1.5,-3.1831974,-0.57332265,0.18351225,0.18351225,0.0156537000000001,0.0156537000000001,0
"Ys1...114",-0.5,0,-0.75,-1,-3.2464746,-0.53114325,0.18351225,0.18351225,0.0272740499999999,0.0272740499999999,0
"Ys1...115",-0.5,0,-0.75,1,-3.3477962,-0.2148417,0.18351225,0.18351225,0.0460843499999997,0.0460843500000001,4.44089209850063e-16
"Ys1...116",-0.5,0,-0.75,1.5,-3.3548048,-0.16230735,0.18351225,0.18351225,0.0473221499999998,0.0473221499999998,-4.44089209850063e-16
"Ys1...117",-0.5,0,-0.2,-1.5,-3.1827911,-0.57332265,0.18381705,0.18381705,0.0157698000000002,0.0157698000000002,4.44089209850063e-16
"Ys1...118",-0.5,0,-0.2,-1,-3.2460701,-0.53114325,0.18381705,0.18381705,0.0273887999999998,0.0273887999999998,0
"Ys1...119",-0.5,0,-0.2,1,-3.3472425,-0.2148417,0.18381705,0.18381705,0.0463109999999998,0.0463110000000002,4.44089209850063e-16
"Ys1...120",-0.5,0,-0.2,1.5,-3.3542319,-0.16230735,0.18381705,0.18381705,0.0475631999999999,0.0475631999999999,0
"Ys1...121",-0.5,0,0.2,-1.5,-3.1831052,-0.57332265,0.18349905,0.18349905,0.01572,0.01572,0
"Ys1...122",-0.5,0,0.2,-1,-3.2464496,-0.53114325,0.18349905,0.18349905,0.0272899499999997,0.0272899500000001,4.44089209850063e-16
"Ys1...123",-0.5,0,0.2,1,-3.3477696,-0.2148417,0.18349905,0.18349905,0.0461014499999997,0.0461014500000001,4.44089209850063e-16
"Ys1...124",-0.5,0,0.2,1.5,-3.3548356,-0.16230735,0.18349905,0.18349905,0.0472961999999999,0.0472961999999999,0
"Ys1...125",-0.5,0,0.75,-1.5,-3.1826989,-0.57332265,0.18380385,0.18380385,0.0158361,0.0158361,0
"Ys1...126",-0.5,0,0.75,-1,-3.2460451,-0.53114325,0.18380385,0.18380385,0.0274046999999999,0.0274046999999999,0
"Ys1...127",-0.5,0,0.75,1,-3.3472159,-0.2148417,0.18380385,0.18380385,0.0463280999999998,0.0463281000000002,8.88178419700125e-16
"Ys1...128",-0.5,0,0.75,1.5,-3.3542627,-0.16230735,0.18380385,0.18380385,0.04753725,0.04753725,0
"Ys1...129",-0.5,1,-0.75,-1.5,-3.1831974,-0.914590749999999,0.24088655,0.27832205,0.0581186999999996,0.0222227999999998,0.00153960000000097
"Ys1...130",-0.5,1,-0.75,-1,-3.2464746,-0.84429175,0.21744205,0.28215855,0.10093045,0.0385922500000007,0.00237830000000017
"Ys1...131",-0.5,1,-0.75,1,-3.3477962,-0.3171225,0.17990795,0.28832495,0.16981505,0.0651322500000004,0.00373420000000113
"Ys1...132",-0.5,1,-0.75,1.5,-3.3548048,-0.22956525,0.17730905,0.28878755,0.174476950000001,0.0668860499999999,0.00388759999999966
"Ys1...133",-0.5,1,-0.2,-1.5,-3.1827911,-0.914590749999999,0.25280765,0.27870125,0.0467441999999991,0.0223873999999995,0.00153680000000023
"Ys1...134",-0.5,1,-0.2,-1,-3.2460701,-0.84429175,0.23781535,0.28257615,0.0811014999999999,0.0387754000000005,0.00243470000000023
"Ys1...135",-0.5,1,-0.2,1,-3.3472425,-0.3171225,0.213800849999999,0.28875895,0.136653000000001,0.0654797,0.00378480000000003
"Ys1...136",-0.5,1,-0.2,1.5,-3.3542319,-0.22956525,0.21214565,0.28920005,0.1403952,0.0672378,0.00389699999999937
"Ys1...137",-0.5,1,0.2,-1.5,-3.1831052,-0.914590749999999,0.26080725,0.27829205,0.0383078999999995,0.0223144,0.00149130000000053
"Ys1...138",-0.5,1,0.2,-1,-3.2464496,-0.84429175,0.25191395,0.28213335,0.0664844499999999,0.0386839500000002,0.00241889999999945
"Ys1...139",-0.5,1,0.2,1,-3.3477696,-0.3171225,0.23769175,0.28830465,0.11205915,0.0652761499999999,0.00382990000000039
"Ys1...140",-0.5,1,0.2,1.5,-3.3548356,-0.22956525,0.23669835,0.28874515,0.1150438,0.0669649000000003,0.00396789999999925
"Ys1...141",-0.5,1,0.75,-1.5,-3.1826989,-0.914590749999999,0.27272835,0.27867125,0.0269333999999999,0.0224789999999997,0.00148850000000067
"Ys1...142",-0.5,1,0.75,-1,-3.2460451,-0.84429175,0.27228725,0.28255095,0.0466555,0.0388671,0.00247529999999951
"Ys1...143",-0.5,1,0.75,1,-3.3472159,-0.3171225,0.271584649999999,0.28873865,0.0788971000000007,0.0656236000000003,0.00388050000000018
"Ys1...144",-0.5,1,0.75,1.5,-3.3542627,-0.22956525,0.271534949999999,0.28915765,0.080962050000001,0.0673166500000004,0.00397729999999985
"Ys1...145",-0.5,1.5,-0.75,-1.5,-3.1831974,-1.0852248,0.2695737,0.32572695,0.0793511999999996,0.0255073499999998,0.00230939999999968
"Ys1...146",-0.5,1.5,-0.75,-1,-3.2464746,-1.000866,0.23440695,0.3314817,0.13775865,0.0442513500000006,0.00356745000000025
"Ys1...147",-0.5,1.5,-0.75,1,-3.3477962,-0.3682629,0.1781058,0.3407313,0.2316804,0.0746562000000006,0.00560130000000036
"Ys1...148",-0.5,1.5,-0.75,1.5,-3.3548048,-0.2631942,0.174207450000001,0.341425200000001,0.23805435,0.0766680000000006,0.00583140000000082
"Ys1...149",-0.5,1.5,-0.2,-1.5,-3.1827911,-1.0852248,0.28730295,0.326143349999999,0.0622313999999999,0.0256961999999996,0.00230519999999945
"Ys1...150",-0.5,1.5,-0.2,-1,-3.2460701,-1.000866,0.2648145,0.3319557,0.10795785,0.0444687000000004,0.00365205000000035
"Ys1...151",-0.5,1.5,-0.2,1,-3.3472425,-0.3682629,0.22879275,0.3412299,0.181824,0.0750640499999999,0.00567720000000005
"Ys1...152",-0.5,1.5,-0.2,1.5,-3.3542319,-0.2631942,0.22630995,0.341891550000001,0.1868112,0.0770751000000001,0.00584550000000039
"Ys1...153",-0.5,1.5,0.2,-1.5,-3.1831052,-1.0852248,0.29946135,0.325688549999999,0.0496018500000002,0.0256115999999995,0.00223694999999857
"Ys1...154",-0.5,1.5,0.2,-1,-3.2464496,-1.000866,0.2861214,0.3314505,0.0860817000000003,0.0443809500000008,0.0036283500000005
"Ys1...155",-0.5,1.5,0.2,1,-3.3477696,-0.3682629,0.2647881,0.34070745,0.145038,0.0748635000000002,0.00574485000000013
"Ys1...156",-0.5,1.5,0.2,1.5,-3.3548356,-0.2631942,0.263298,0.341368200000001,0.1489176,0.0767992500000005,0.00595185000000154
"Ys1...157",-0.5,1.5,0.75,-1.5,-3.1826989,-1.0852248,0.3171906,0.32610495,0.0324820499999996,0.0258004500000002,0.00223275000000012
"Ys1...158",-0.5,1.5,0.75,-1,-3.2460451,-1.000866,0.31652895,0.3319245,0.0562809,0.0445983000000005,0.0037129500000006
"Ys1...159",-0.5,1.5,0.75,1,-3.3472159,-0.3682629,0.315475050000001,0.34120605,0.0951816000000001,0.0752713500000004,0.00582074999999982
"Ys1...160",-0.5,1.5,0.75,1.5,-3.3542627,-0.2631942,0.315400500000001,0.341834550000001,0.0976744499999995,0.07720635,0.00596595000000022
"Ys1...161",0.5,-1.5,-0.75,-1.5,NA,-0.0610295999999999,NA,NA,NA,NA,NA
"Ys1...162",0.5,-1.5,-0.75,-1,NA,-0.0610295999999999,NA,NA,NA,NA,NA
"Ys1...163",0.5,-1.5,-0.75,1,NA,-0.0610295999999999,NA,NA,NA,NA,NA
"Ys1...164",0.5,-1.5,-0.75,1.5,NA,-0.0610295999999999,NA,NA,NA,NA,NA
"Ys1...165",0.5,-1.5,-0.2,-1.5,-3.6226511,-0.0614205000000001,-0.00237450000000017,-0.0335221499999996,-0.0413068499999998,-0.00549990000000022,0.00465930000000014
"Ys1...166",0.5,-1.5,-0.2,-1,-3.7151789,-0.0614205000000001,0.0279150000000001,-0.0260986500000002,-0.0715963500000001,-0.00935310000000023,0.0082295999999995
"Ys1...167",0.5,-1.5,-0.2,1,-3.8632029,-0.0614205000000001,0.0763258499999999,-0.0139717500000001,-0.1200072,-0.0153717000000002,0.0143378999999997
"Ys1...168",0.5,-1.5,-0.2,1.5,-3.8734763,-0.0614205000000001,0.0796758,-0.0131344499999999,-0.12335715,-0.01581945,0.0147274500000001
"Ys1...169",0.5,-1.5,0.2,-1.5,-3.6225638,-0.0614205000000001,-0.01345515,-0.0334061999999999,-0.0301372500000001,-0.00543165000000023,0.00475454999999991
"Ys1...170",0.5,-1.5,0.2,-1,-3.7151186,-0.0614205000000001,0.00863114999999981,-0.0259296,-0.0522235499999999,-0.00930960000000036,0.00835319999999973
"Ys1...171",0.5,-1.5,0.2,1,-3.8630688,-0.0614205000000001,0.0440093999999998,-0.0139186499999999,-0.0876017999999998,-0.01531935,0.0143544000000002
"Ys1...172",0.5,-1.5,0.2,1.5,-3.8733398,-0.0614205000000001,0.0464498999999998,-0.0130872000000002,-0.0900422999999999,-0.0157593,0.0147458999999999
"Ys1...173",0.5,-1.5,0.75,-1.5,-3.6231235,-0.0614205000000001,-0.02897595,-0.0335087999999999,-0.0148649999999999,-0.00547695000000026,0.00485519999999973
"Ys1...174",0.5,-1.5,0.75,-1,-3.7157443,-0.0614205000000001,-0.0180622499999998,-0.0259956000000003,-0.0257787,-0.00941700000000001,0.00842834999999953
"Ys1...175",0.5,-1.5,0.75,1,-3.8638201,-0.0614205000000001,-0.000585899999999917,-0.0139555499999999,-0.04325505,-0.0155071499999999,0.01437825
"Ys1...176",0.5,-1.5,0.75,1.5,-3.8741131,-0.0614205000000001,0.000628499999999921,-0.0131466000000002,-0.0444694499999998,-0.0159475500000004,0.0147467999999993
"Ys1...177",0.5,-1,-0.75,-1.5,NA,-0.2317312,NA,NA,NA,NA,NA
"Ys1...178",0.5,-1,-0.75,-1,NA,-0.2175666,NA,NA,NA,NA,NA
"Ys1...179",0.5,-1,-0.75,1,NA,-0.112251,NA,NA,NA,NA,NA
"Ys1...180",0.5,-1,-0.75,1.5,NA,-0.0947444000000002,NA,NA,NA,NA,NA
"Ys1...181",0.5,-1,-0.2,-1.5,-3.6226511,-0.23205455,-0.05583765,-0.0766027500000002,-0.0322727500000002,-0.00840145000000003,0.00310619999999995
"Ys1...182",0.5,-1,-0.2,-1,-3.7151789,-0.21799475,-0.0356446499999996,-0.0716537499999998,-0.05590495,-0.01440945,0.00548639999999967
"Ys1...183",0.5,-1,-0.2,1,-3.8632029,-0.1125609,-0.0033707500000002,-0.0635691500000002,-0.09358435,-0.0238273499999999,0.00955860000000008
