"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"154",-0.5,1.5,0.2,-1,0.00674269999999999,-0.0296353,-0.00024639999999998,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"155",-0.5,1.5,0.2,1,0.0109303000000001,-0.0199598999999999,-0.000140699999999994,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"156",-0.5,1.5,0.2,1.5,0.0109834,-0.0202543000000001,-0.000195400000000068,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"157",-0.5,1.5,0.75,-1.5,0.00351830000000009,-0.0343774999999999,-0.000289800000000007,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"158",-0.5,1.5,0.75,-1,0.00681249999999989,-0.029594,-0.000168799999999969,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"159",-0.5,1.5,0.75,1,0.0109456,-0.0199819000000001,-0.000179600000000057,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"160",-0.5,1.5,0.75,1.5,0.0109490000000001,-0.0202219,-0.000180999999999987,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"161",0.5,-1.5,-0.75,-1.5,0.0055845000000001,-0.0486856999999998,-2.00999999999674e-05,4,2,3,1,4,3,2,1,4,2,1,3,4,2,3,1
"162",0.5,-1.5,-0.75,-1,0.0112085000000001,-0.042933,-5.46999999999631e-05,4,2,3,1,4,3,2,1,4,2,1,3,4,2,3,1
"163",0.5,-1.5,-0.75,1,0.0235971999999999,0.0116705999999999,5.49999999999162e-05,3,1,4,2,4,2,3,1,4,2,3,1,3,1,4,2
"164",0.5,-1.5,-0.75,1.5,0.0248826,0.0202716999999999,-1.13000000000474e-05,3,1,4,2,4,2,3,1,4,2,3,1,3,1,4,2
"165",0.5,-1.5,-0.2,-1.5,0.00555570000000016,-0.0487061,-7.25000000000309e-05,4,2,3,1,4,3,2,1,4,2,1,3,4,2,3,1
