"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...36",-1.5,0,-0.75,1.5,4.91872305720875,-0.530454450000001,-1.856590575,2.6173161,4.91872305720875,-0.53045445,-1.856590575,2.6173161,-8.88178419700125e-16,4.22984185720875,-0.53045445,-1.856590575,2.6173161,0.689933600000001,4.91738838985266,-0.53093685,-1.858278975,2.6178249,0.0029966673560935
"Ys0...37",-1.5,0,-0.2,-1.5,3.30687047860591,-0.530025,-0.265012499999999,2.6173161,3.30687047860591,-0.530025,-0.2650125,2.6173161,8.88178419700125e-16,3.20822662860591,-0.530025,-0.2650125,2.6173161,0.0992269749999994,3.30548598985266,-0.530936849999999,-0.265468425000001,2.6178249,0.00224346375325157
"Ys0...38",-1.5,0,-0.2,-1,3.57595917860591,-0.530025,-0.530024999999999,2.6173161,3.57595917860591,-0.530025,-0.530025,2.6173161,8.88178419700125e-16,3.37867147860591,-0.530025,-0.530025,2.6173161,0.19819955,3.57413638985266,-0.53093685,-0.53093685,2.6178249,0.0031376887532506
"Ys0...39",-1.5,0,-0.2,1,4.65231397860591,-0.530025,-1.590075,2.6173161,4.65231397860591,-0.530025,-1.590075,2.6173161,0,4.06045087860591,-0.530025,-1.590075,2.6173161,0.594089849999999,4.64873798985266,-0.530936850000001,-1.59281055,2.6178249,0.00671458875325115
"Ys0...40",-1.5,0,-0.2,1.5,4.92140267860591,-0.530025,-1.8550875,2.6173161,4.92140267860591,-0.530025,-1.8550875,2.6173161,-8.88178419700125e-16,4.23089572860591,-0.530025,-1.8550875,2.6173161,0.693062425,4.91738838985266,-0.53093685,-1.858278975,2.6178249,0.00760881375325084
"Ys0...41",-1.5,0,0.2,-1.5,3.30699595624101,-0.53008005,-0.265040024999999,2.6173161,3.30699595624101,-0.53008005,-0.265040025,2.6173161,8.88178419700125e-16,3.20837035624101,-0.53008005,-0.265040025,2.6173161,0.0991812000000001,3.30548598985266,-0.530936849999999,-0.265468425000001,2.6178249,0.00228636638835478
"Ys0...42",-1.5,0,0.2,-1,3.57604795624101,-0.53008005,-0.53008005,2.6173161,3.57604795624101,-0.53008005,-0.53008005,2.6173161,0,3.37879675624101,-0.53008005,-0.53008005,2.6173161,0.198108,3.57413638985266,-0.53093685,-0.53093685,2.6178249,0.00311636638835378
"Ys0...43",-1.5,0,0.2,1,4.65225595624101,-0.53008005,-1.59024015,2.6173161,4.65225595624101,-0.53008005,-1.59024015,2.6173161,0,4.06050235624101,-0.53008005,-1.59024015,2.6173161,0.593815200000001,4.64873798985266,-0.530936850000001,-1.59281055,2.6178249,0.0064363663883551
"Ys0...44",-1.5,0,0.2,1.5,4.92130795624101,-0.53008005,-1.855280175,2.6173161,4.92130795624101,-0.53008005,-1.855280175,2.6173161,-8.88178419700125e-16,4.23092875624101,-0.53008005,-1.855280175,2.6173161,0.692742,4.91738838985266,-0.53093685,-1.858278975,2.6178249,0.00726636638835387
"Ys0...45",-1.5,0,0.75,-1.5,NA,NA,NA,2.6173161,NA,NA,NA,2.6173161,NA,NA,NA,NA,2.6173161,NA,3.30648256681611,-0.53055435,-0.265277175,2.6172792,NA
"Ys0...46",-1.5,0,0.75,-1,NA,NA,NA,2.6173161,NA,NA,NA,2.6173161,NA,NA,NA,NA,2.6173161,NA,3.57520606681611,-0.53055435,-0.530554349999999,2.6172792,NA
