"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"40",-1.5,1,-0.2,0.5,-1,-0.00181799999999999,-0.00448810000000011,-4.65000000000604e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"41",-1.5,1,-0.2,1,-1,-0.00189790000000001,-0.00846629999999993,-7.02999999999676e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"42",-1.5,1,-0.2,1.5,-1,-0.00196160000000001,-0.0113416,-8.319999999995e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"43",-1.5,1,0.2,-1.5,-1,-0.000825699999999929,0.0167250999999999,2.12000000000545e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"44",-1.5,1,0.2,-1,-1,-0.00126859999999995,0.0118360999999999,0.000126599999999977,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"45",-1.5,1,0.2,-0.5,-1,-0.00161459999999991,0.00625160000000002,1.10000000000943e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"46",-1.5,1,0.2,0,-1,-0.00173759999999989,0.000479199999999902,-0.000118399999999963,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"47",-1.5,1,0.2,0.5,-1,-0.00184390000000001,-0.00445490000000004,-1.74000000000563e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"48",-1.5,1,0.2,1,-1,-0.00193299999999996,-0.0084285999999999,-3.71999999999595e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"49",-1.5,1,0.2,1.5,-1,-0.00198880000000001,-0.0113027,-4.89000000000184e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"50",-1.5,1,0.75,-1.5,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"51",-1.5,1,0.75,-1,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"52",-1.5,1,0.75,-0.5,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"53",-1.5,1,0.75,0,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"54",-1.5,1,0.75,0.5,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"55",-1.5,1,0.75,1,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
