"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...135",-0.5,1,-0.2,1,-0.0790179,-0.00725710000000002,-0.0578703,0.0456154,0.1560987,0.1177268,0.0651137999999999
"Ys1...136",-0.5,1,-0.2,1.5,-0.0774412,-0.0018281,-0.070431,0.0414157000000001,0.1722829,0.1281924,0.0677562
"Ys1...137",-0.5,1,0.2,-1.5,-0.0505002,-0.2848158,0.0692798,0.076222,0.0156853,0.0194417,0.0106986
"Ys1...138",-0.5,1,0.2,-1,-0.0613547999999999,-0.1949567,0.0479933,0.0715488000000001,0.0400223,0.0418362999999999,0.0253695
"Ys1...139",-0.5,1,0.2,1,-0.0792731,-0.00710729999999993,-0.0448986,0.04566,0.1433744,0.1181292,0.0653134000000002
"Ys1...140",-0.5,1,0.2,1.5,-0.0776135999999999,-0.00171929999999998,-0.0558157,0.0413209,0.1581576,0.1284033,0.0673823
"Ys1...141",-0.5,1,0.75,-1.5,-0.0504532,-0.2849407,0.067893,0.0762616,0.0171549,0.019181,0.0103947000000001
"Ys1...142",-0.5,1,0.75,-1,-0.0613889,-0.1949066,0.0517931,0.0715064,0.036229,0.0417157,0.0252
"Ys1...143",-0.5,1,0.75,1,-0.0791849999999999,-0.00739639999999997,-0.0179858000000001,0.0458632,0.1163412,0.117946,0.0654538000000001
"Ys1...144",-0.5,1,0.75,1.5,-0.0777523,-0.00183659999999997,-0.0277755,0.0413552,0.1299024,0.1282153,0.0674435999999999
"Ys1...145",-0.5,1.5,-0.75,-1.5,-0.0555810999999999,-0.3334692,0.0558137,0.0856254,0.0311883000000001,0.0180669,0.0166902999999999
"Ys1...146",-0.5,1.5,-0.75,-1,-0.060589,-0.2509536,0.0008127,0.0781647,0.0773549,0.0398643,0.0398613999999999
"Ys1...147",-0.5,1.5,-0.75,1,-0.0560438,-0.0293724,-0.1845568,0.0438824,0.2438084,0.1092518,0.0938826
"Ys1...148",-0.5,1.5,-0.75,1.5,-0.0518599,-0.0194598,-0.2062702,0.0387033,0.2655363,0.1183152,0.0977524000000001
"Ys1...149",-0.5,1.5,-0.2,-1.5,-0.0555053,-0.3335821,0.0585342999999999,0.0856342999999999,0.0285313,0.0179792,0.0165478999999999
"Ys1...150",-0.5,1.5,-0.2,-1,-0.0603153,-0.2510503,0.00888250000000002,0.0778922,0.0689162,0.0397873,0.0398807999999999
"Ys1...151",-0.5,1.5,-0.2,1,-0.0561667,-0.0293751,-0.1565719,0.0437046,0.2159578,0.1093826,0.0937013
"Ys1...152",-0.5,1.5,-0.2,1.5,-0.0519288999999999,-0.0192675,-0.1762896,0.0386114,0.2355117,0.118463,0.0978523000000001
"Ys1...153",-0.5,1.5,0.2,-1.5,-0.0555391,-0.3337291,0.0625169,0.0858784,0.024614,0.0183399,0.0170874
"Ys1...154",-0.5,1.5,0.2,-1,-0.0601851,-0.2512808,0.0199562,0.0780442,0.0578850000000001,0.0398446,0.0400476
"Ys1...155",-0.5,1.5,0.2,1,-0.0561777999999999,-0.0294983,-0.1228908,0.0443408,0.1823311,0.1096743,0.0945748
"Ys1...156",-0.5,1.5,0.2,1.5,-0.0520128,-0.0193852,-0.1402051,0.03888,0.1997048,0.118636,0.0980163000000001
"Ys1...157",-0.5,1.5,0.75,-1.5,-0.0558067,-0.3337087,0.0694355999999999,0.086074,0.0177891,0.0182896,0.0171389000000001
"Ys1...158",-0.5,1.5,0.75,-1,-0.0602488999999999,-0.2513088,0.0412939999999999,0.0782499,0.0367892000000001,0.039722,0.0398887
